disp(nameNet)
D:\OneDrive - City, University of London\Acad\Research\texture\Horiz_Vert_Diag\Network_Case_1A
D:\OneDrive - City, University of London\Acad\Research\texture\Horiz_Vert_Diag\Network_Case_1A
Training on single CPU.
Initializing input data normalization.
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
|       1 |           1 |       00:00:00 |       19.58% |       5.5955 |          0.0010 |
|       2 |          50 |       00:00:16 |       22.05% |       1.6035 |          0.0010 |
|       3 |         100 |       00:00:33 |       24.66% |       1.5710 |          0.0010 |
|       4 |         150 |       00:00:50 |       31.95% |       1.4700 |          0.0010 |
|       5 |         200 |       00:01:06 |       37.94% |       1.3908 |          0.0010 |
|       6 |         250 |       00:01:23 |       42.27% |       1.3521 |          0.0010 |
|       7 |         300 |       00:01:40 |       44.18% |       1.2885 |          0.0010 |
|       8 |         350 |       00:01:57 |       53.20% |       1.1534 |          0.0010 |
|       9 |         400 |       00:02:14 |       55.59% |       1.0697 |          0.0010 |
|      10 |         450 |       00:02:31 |       58.27% |       1.0451 |          0.0010 |
|      12 |         500 |       00:02:48 |       61.00% |       1.0002 |          0.0010 |
|      13 |         550 |       00:03:04 |       58.88% |       1.0088 |          0.0010 |
|      14 |         600 |       00:03:21 |       61.06% |       0.9898 |          0.0010 |
|      15 |         650 |       00:03:38 |       60.81% |       0.9706 |          0.0010 |
|      16 |         700 |       00:03:55 |       62.46% |       0.9779 |          0.0010 |
|      17 |         750 |       00:04:11 |       60.80% |       0.9964 |          0.0010 |
|      18 |         800 |       00:04:28 |       64.57% |       0.9491 |          0.0010 |
|      19 |         850 |       00:04:45 |       65.13% |       0.8964 |          0.0010 |
|      20 |         900 |       00:05:01 |       64.51% |       0.9059 |          0.0010 |
|      22 |         950 |       00:05:18 |       67.11% |       0.8684 |          0.0010 |
|      23 |        1000 |       00:05:35 |       64.85% |       0.9040 |          0.0010 |
|      24 |        1050 |       00:05:52 |       64.86% |       0.8989 |          0.0010 |
|      25 |        1100 |       00:06:09 |       65.40% |       0.8784 |          0.0010 |
|      26 |        1150 |       00:06:25 |       66.62% |       0.8820 |          0.0010 |
|      27 |        1200 |       00:06:42 |       65.42% |       0.8905 |          0.0010 |
|      28 |        1250 |       00:06:58 |       68.67% |       0.8427 |          0.0010 |
|      29 |        1300 |       00:07:15 |       69.17% |       0.8144 |          0.0010 |
|      30 |        1350 |       00:07:32 |       68.31% |       0.8177 |          0.0010 |
|      32 |        1400 |       00:07:49 |       71.63% |       0.7685 |          0.0010 |
|      33 |        1450 |       00:08:05 |       69.02% |       0.8139 |          0.0010 |
|      34 |        1500 |       00:08:22 |       68.61% |       0.8152 |          0.0010 |
|      35 |        1550 |       00:08:39 |       67.79% |       0.8170 |          0.0010 |
|      36 |        1600 |       00:08:56 |       69.33% |       0.8159 |          0.0010 |
|      37 |        1650 |       00:09:12 |       66.79% |       0.8444 |          0.0010 |
|      38 |        1700 |       00:09:29 |       71.26% |       0.7664 |          0.0010 |
|      39 |        1750 |       00:09:44 |       71.96% |       0.7387 |          0.0010 |
|      40 |        1800 |       00:10:00 |       70.73% |       0.7617 |          0.0010 |
|      42 |        1850 |       00:10:16 |       74.32% |       0.7026 |          0.0010 |
|      43 |        1900 |       00:10:31 |       72.92% |       0.7326 |          0.0010 |
|      44 |        1950 |       00:10:47 |       71.96% |       0.7399 |          0.0010 |
|      45 |        2000 |       00:11:02 |       70.66% |       0.7613 |          0.0010 |
|      46 |        2050 |       00:11:18 |       72.06% |       0.7488 |          0.0010 |
|      47 |        2100 |       00:11:34 |       70.46% |       0.7767 |          0.0010 |
|      48 |        2150 |       00:11:49 |       72.94% |       0.7211 |          0.0010 |
|      49 |        2200 |       00:12:04 |       74.82% |       0.6817 |          0.0010 |
|      50 |        2250 |       00:12:20 |       73.27% |       0.7076 |          0.0010 |
|      52 |        2300 |       00:12:35 |       75.84% |       0.6693 |          0.0010 |
|      53 |        2350 |       00:12:51 |       75.15% |       0.6789 |          0.0010 |
|      54 |        2400 |       00:13:06 |       73.51% |       0.7041 |          0.0010 |
